year,Country,NUM_OF_VISITORS
2006,United States,100
2006,Overseas,0
2006,Canada,6000
2006,Canada,2800
2006,Canada,16400
2006,Canada,5600
2006,United States,500
2006,United States,600
2006,United States,300
2006,United States,100
2006,United States,700
2006,United States,200
2006,United States,200
2006,United States,200
2006,United States,400
2006,Overseas,1400
2006,Overseas,300
2006,Overseas,1000
2006,Overseas,400
2006,Canada,74600
2006,Canada,700
2006,Canada,4700
2006,Canada,200
2006,United States,400
2006,United States,700
2006,United States,200
2006,United States,100
2006,United States,0
2006,United States,100
2006,United States,0
2006,United States,0
2006,United States,0
2006,United States,0
2006,Overseas,0
2007,Canada,7900
2007,Canada,3600
2007,Canada,14800
2007,Canada,5700
2007,United States,500
2007,United States,500
2007,United States,400
2007,United States,100
2007,United States,900
2007,United States,100
2007,United States,300
2007,United States,200
2007,United States,400
2007,Overseas,1100
2007,Overseas,400
2007,Overseas,700
2007,Overseas,900
2007,Canada,64700
2007,Canada,500
2007,Canada,2000
2007,Canada,100
2007,United States,200
2007,United States,400
2007,United States,100
2007,United States,100
2007,United States,0
2007,United States,0
2007,United States,0
2007,United States,0
2007,United States,0
2007,United States,0
2007,Overseas,0
2007,Canada,7300
2007,Canada,3900
2007,Canada,14200
2007,Canada,6300
2007,United States,700
2007,United States,400
2007,United States,400
2007,United States,100
2007,United States,600
2007,United States,200
2007,United States,200
2007,United States,200
2007,United States,400
2007,Overseas,900
2007,Overseas,200
2007,Overseas,900
2007,Overseas,900
2007,Canada,62300
2007,Canada,400
2007,Canada,2000
2007,Canada,100
2007,United States,200
2007,United States,300
2007,United States,100
2007,United States,0
2007,United States,0
2007,United States,100
2007,United States,0
2007,United States,0
2007,United States,0
2007,United States,0
2007,Overseas,0
2007,Canada,8000
2007,Canada,3800
2007,Canada,16200
2007,Canada,4500
2007,United States,900
2007,United States,600
2007,United States,500
2007,United States,200
2007,United States,900
2007,United States,0
2007,United States,300
2007,United States,200
2007,United States,300
2007,Overseas,800
2007,Overseas,300
2007,Overseas,600
2007,Overseas,1000
2007,Canada,77800
2007,Canada,1100
2007,Canada,3600
2007,Canada,300
2007,United States,500
2007,United States,600
2007,United States,400
2007,United States,100
2007,United States,0
2007,United States,200
2007,United States,0
2007,United States,0
2007,United States,0
2007,United States,0
2007,Overseas,0
2007,Canada,8000
2007,Canada,3600
2007,Canada,17700
2007,Canada,8900
2007,United States,700
2007,United States,800
2007,United States,500
2007,United States,200
2007,United States,1200
2007,United States,200
2007,United States,400
2007,United States,300
2007,United States,500
2007,Overseas,1300
2007,Overseas,300
2007,Overseas,600
2007,Overseas,600
2007,Canada,75300
2007,Canada,1400
2007,Canada,5600
2007,Canada,500
2007,United States,800
2007,United States,1000
2007,United States,500
2007,United States,100
2007,United States,0
2007,United States,400
2007,United States,0
2007,United States,0
2007,United States,100
2007,United States,0
2007,Overseas,0
2007,Canada,7400
2007,Canada,3000
2007,Canada,19500
2007,Canada,9800
2007,United States,800
2007,United States,1300
2007,United States,700
2007,United States,200
2007,United States,1300
2007,United States,100
2007,United States,300
2007,United States,200
2007,United States,600
2007,Overseas,1500
2007,Overseas,300
2007,Overseas,900
2007,Overseas,1800
2007,Canada,92600
2007,Canada,2400
2007,Canada,11500
2007,Canada,1400
2007,United States,1000
2007,United States,1600
2007,United States,1000
2007,United States,300
2007,United States,100
2007,United States,1100
2007,United States,0
2007,United States,100
2007,United States,100
2007,United States,200
2007,Overseas,0
2007,Canada,6900
2007,Canada,3800
2007,Canada,18100
2007,Canada,11100
2007,United States,1200
2007,United States,1800
2007,United States,800
2007,United States,300
2007,United States,2100
2007,United States,100
2007,United States,600
2007,United States,400
2007,United States,800
2007,Overseas,2800
2007,Overseas,1000
2007,Overseas,1500
2007,Overseas,1500
2007,Canada,100200
2007,Canada,5400
2007,Canada,20100
2007,Canada,2000
2007,United States,2300
2007,United States,5300
2007,United States,3300
2007,United States,1200
2007,United States,500
2007,United States,3200
2007,United States,200
2007,United States,600
2007,United States,600
2007,United States,600
2007,Overseas,0
2007,Canada,5400
2007,Canada,3900
2007,Canada,30200
2007,Canada,17000
2007,United States,2700
2007,United States,3100
2007,United States,1600
2007,United States,700
2007,United States,4500
2007,United States,800
2007,United States,1000
2007,United States,900
2007,United States,1800
2007,Overseas,3800
2007,Overseas,1300
2007,Overseas,2000
2007,Overseas,2800
2007,Canada,119800
2007,Canada,17200
2007,Canada,57400
2007,Canada,3400
2007,United States,3500
2007,United States,10400
2007,Canada,12100
2007,United States,6900
2007,United States,2200
2007,United States,700
2007,United States,5300
2007,United States,500
2007,United States,1000
2007,United States,700
2007,United States,1200
2007,Overseas,0
2007,Canada,5700
2007,Canada,5700
2007,Canada,34400
2007,Canada,22600
2007,United States,2600
2007,United States,3800
2007,United States,2000
2007,United States,500
2007,United States,4700
2007,United States,600
2007,United States,1200
2007,United States,1100
2007,United States,2600
2007,Overseas,3100
2007,Overseas,2500
2007,Overseas,2800
2007,Overseas,3900
2007,Canada,126200
2007,Canada,15800
2007,Canada,56900
2007,Canada,3000
2007,United States,3500
2007,United States,11500
2007,United States,6900
2007,United States,2200
2007,United States,700
2007,United States,4700
2007,United States,300
2007,United States,800
2007,United States,600
2007,United States,900
2007,Overseas,0
2007,Canada,6700
2007,Canada,3500
2007,Canada,24700
2007,Canada,16600
2007,United States,1300
2007,United States,2100
2007,United States,1200
2007,United States,500
2007,United States,2300
2007,United States,400
2007,United States,800
2007,United States,500
2007,United States,1500
2007,Overseas,4700
2007,Overseas,2000
2007,Overseas,2400
2007,Overseas,3000
2007,Canada,100700
2007,Canada,5800
2007,Canada,24300
2007,Canada,3200
2007,United States,2300
2007,United States,6600
2007,United States,4800
2007,United States,1800
2007,United States,600
2007,United States,3400
2007,United States,400
2007,United States,600
2007,United States,600
2007,United States,900
2007,Overseas,0
2007,Canada,7700
2007,Canada,3200
2007,Canada,23000
2007,Canada,17200
2007,United States,1500
2007,United States,1600
2007,United States,1200
2007,United States,500
2007,United States,2100
2007,United States,300
2007,United States,700
2007,United States,700
2007,United States,1700
2007,Overseas,3300
2007,Overseas,1300
2007,Overseas,2100
2007,Overseas,1900
2007,Canada,99200
2007,Canada,3300
2007,Canada,1600
2007,United States,1500
2007,United States,2900
2007,United States,1700
2007,United States,900
2007,United States,400
2007,United States,1300
2007,United States,300
2007,United States,200
2007,United States,200
2007,United States,400
2007,Overseas,0
2007,Canada,6400
2007,Canada,2900
2007,Canada,15700
2007,Canada,6400
2007,United States,900
2007,United States,900
2007,United States,500
2007,United States,100
2007,United States,900
2007,United States,100
2007,United States,300
2007,United States,200
2007,United States,300
2007,Overseas,800
2007,Overseas,400
2007,Overseas,900
2007,Overseas,1400
2007,Canada,80200
2007,Canada,1600
2007,Canada,4600
2007,Canada,600
2007,United States,600
2007,United States,900
2007,United States,300
2007,United States,200
2007,United States,0
2007,United States,200
2007,United States,0
2007,United States,100
2007,United States,100
2007,United States,100
2007,Overseas,0
2007,Canada,6200
2007,Canada,3100
2007,Canada,12700
2007,Canada,6400
2007,United States,800
2007,United States,800
2007,United States,200
2007,United States,200
2007,United States,900
2007,United States,100
2007,United States,200
2007,United States,300
2007,United States,500
2007,Overseas,1200
2007,Overseas,200
2007,Overseas,600
2007,Overseas,1000
2007,Canada,67000
2007,Canada,800
2007,Canada,3600
2007,Canada,200
2007,United States,400
2007,United States,500
2007,United States,100
2007,United States,100
2007,United States,0
2007,United States,100
2007,United States,0
2007,United States,0
2007,United States,0
2007,United States,0
2007,Overseas,0
2008,Canada,8100
2008,Canada,2800
2008,Canada,13900
2008,Canada,10300
2008,United States,1000
2008,United States,600
2008,United States,200
2008,United States,100
2008,United States,600
2008,United States,100
2008,United States,100
2008,United States,100
2008,United States,400
2008,Overseas,1300
2008,Overseas,200
2008,Overseas,600
2008,Overseas,1300
2008,Canada,59800
2008,Canada,400
2008,Canada,1700
2008,Canada,200
2008,United States,200
2008,United States,400
2008,United States,100
2008,United States,0
2008,United States,0
2008,United States,100
2008,United States,0
2008,United States,0
2008,United States,0
2008,United States,0
2008,Overseas,0
2008,Canada,8800
2008,Canada,2800
2008,Canada,15100
2008,Canada,5300
2008,United States,900
2008,United States,600
2008,United States,300
2008,United States,100
2008,Canada,1200
2008,United States,800
2008,United States,100
2008,United States,300
2008,United States,200
2008,United States,300
2008,Overseas,800
2008,Overseas,500
2008,Overseas,800
2008,Overseas,800
2008,Canada,63900
2008,Canada,500
2008,Canada,1900
2008,Canada,100
2008,United States,200
2008,United States,300
2008,United States,100
2008,United States,0
2008,United States,0
2008,United States,100
2008,United States,0
2008,United States,0
2008,United States,0
2008,United States,0
2008,Overseas,0
2008,Canada,10700
2008,Canada,4100
2008,Canada,15800
2008,Canada,5700
2008,United States,1000
2008,United States,1100
2008,United States,600
2008,United States,600
2008,United States,900
2008,United States,100
2008,United States,400
2008,United States,300
2008,United States,900
2008,Overseas,600
2008,Overseas,400
2008,Overseas,1000
2008,Overseas,700
2008,Canada,71600
2008,Canada,900
2008,Canada,3700
2008,Canada,300
2008,United States,400
2008,United States,400
2008,United States,200
2008,United States,100
2008,United States,0
2008,United States,100
2008,United States,0
2008,United States,0
2008,United States,0
2008,United States,0
2008,Overseas,0
2008,Canada,8200
2008,Canada,3800
2008,Canada,15400
2008,Canada,7300
2008,United States,800
2008,United States,800
2008,United States,600
2008,United States,200
2008,United States,900
2008,United States,200
2008,United States,200
2008,United States,400
2008,United States,600
2008,Overseas,900
2008,Overseas,400
2008,Overseas,800
2008,Overseas,500
2008,Canada,75200
2008,Canada,4700
2008,Canada,500
2008,United States,600
2008,United States,800
2008,United States,300
2008,United States,200
2008,United States,0
2008,United States,400
2008,United States,0
2008,United States,0
2008,United States,0
2008,United States,0
2008,Overseas,0
2008,Canada,8100
2008,Canada,3900
2008,Canada,25400
2008,Canada,12500
2008,United States,1100
2008,United States,800
2008,United States,700
2008,United States,300
2008,United States,1500
2008,United States,100
2008,United States,400
2008,United States,300
2008,United States,800
2008,Overseas,1900
2008,Overseas,1200
2008,Overseas,2300
2008,Overseas,2300
2008,Canada,94000
2008,Canada,2400
2008,Canada,9700
2008,Canada,1300
2008,United States,900
2008,United States,1600
2008,United States,800
2008,United States,400
2008,United States,100
2008,United States,900
2008,United States,0
2008,United States,100
2008,United States,100
2008,United States,100
2008,Overseas,0
2008,Canada,7700
2008,Canada,3800
2008,Canada,24900
2008,Canada,14000
2008,United States,900
2008,United States,1100
2008,United States,900
2008,United States,300
2008,United States,1700
2008,United States,400
2008,United States,400
2008,United States,400
2008,United States,900
2008,Overseas,2800
2008,Overseas,700
2008,Overseas,1900
2008,Overseas,2100
2008,Canada,92200
2008,Canada,5300
2008,Canada,18200
2008,Canada,2200
2008,United States,1700
2008,United States,4700
2008,United States,2900
2008,United States,1000
2008,United States,400
2008,United States,2600
2008,United States,100
2008,United States,400
2008,United States,300
2008,United States,400
2008,Overseas,0
2008,Canada,6400
2008,Canada,3400
2008,Canada,24800
2008,Canada,16300
2008,United States,1400
2008,United States,2100
2008,United States,1300
2008,United States,900
2008,United States,3000
2008,United States,500
2008,United States,900
2008,United States,800
2008,United States,1800
2008,Overseas,3100
2008,Overseas,1200
2008,Overseas,2600
2008,Overseas,2600
2008,Canada,112700
2008,Canada,13700
2008,Canada,46900
2008,Canada,3800
2008,United States,2700
2008,United States,7900
2008,United States,4600
2008,United States,1600
2008,United States,600
2008,United States,3800
2008,United States,200
2008,United States,400
2008,United States,600
2008,United States,600
2008,Overseas,0
2008,Canada,8300
2008,Canada,4800
2008,Canada,36700
2008,Canada,28200
2008,United States,1300
2008,United States,3200
2008,United States,2200
2008,United States,1000
2008,United States,4100
2008,United States,600
2008,United States,1500
2008,United States,1100
2008,United States,2400
2008,Overseas,5000
2008,Overseas,2100
2008,Overseas,3000
2008,Overseas,3800
2008,Canada,127400
2008,Canada,16200
2008,Canada,53700
2008,Canada,3500
2008,United States,2800
2008,Canada,1400
2008,United States,9600
2008,United States,5900
2008,United States,1500
2008,United States,500
2008,United States,3400
2008,United States,300
2008,United States,500
2008,United States,400
2008,United States,500
2008,Overseas,0
2008,Canada,7800
2008,Canada,4000
2008,Canada,22800
2008,Canada,17600
2008,United States,1300
2008,United States,1600
2008,United States,1300
2008,United States,400
2008,United States,2500
2008,United States,400
2008,United States,1000
2008,United States,1000
2008,United States,1700
2008,Overseas,4200
2008,Overseas,1300
2008,Overseas,2400
2008,Overseas,2600
2008,Canada,96400
2008,Canada,6600
2008,Canada,20600
2008,Canada,3600
2008,United States,2200
2008,United States,5400
2008,United States,3500
2008,United States,1600
2008,United States,500
2008,United States,2700
2008,United States,600
2008,United States,500
2008,United States,400
2008,United States,400
2008,Overseas,0
2008,Canada,7300
2008,Canada,3900
2008,Canada,21900
2008,Canada,13800
2008,United States,1000
2008,United States,1200
2008,United States,900
2008,United States,300
2008,United States,1800
2008,United States,200
2008,United States,500
2008,United States,400
2008,United States,1500
2008,Overseas,2500
2008,Overseas,1800
2008,Overseas,1200
2008,Overseas,1800
2008,Canada,98200
2008,Canada,3800
2008,Canada,12000
2008,Canada,1700
2008,United States,1300
2008,United States,2600
2008,United States,1600
2008,United States,900
2008,United States,200
2008,United States,800
2008,United States,100
2008,United States,200
2008,United States,200
2008,United States,300
2008,Overseas,0
2008,Canada,7500
2008,Canada,2800
2008,Canada,13700
2008,Canada,5000
2008,United States,800
2008,United States,700
2008,United States,500
2008,United States,200
2008,United States,700
2008,United States,0
2008,United States,300
2008,United States,300
2008,United States,300
2008,Overseas,500
2008,Overseas,300
2008,Overseas,500
2008,Overseas,1100
2008,Canada,79100
2008,Canada,4200
2008,Canada,700
2008,United States,700
2008,United States,900
2008,United States,300
2008,United States,100
2008,United States,0
2008,United States,100
2008,United States,0
2008,United States,0
2008,United States,0
2008,United States,0
2008,Overseas,0
2008,Canada,7100
2008,Canada,1800
2008,Canada,10300
2008,Canada,5300
2008,United States,700
2008,United States,1000
2008,United States,700
2008,United States,100
2008,United States,1200
2008,United States,100
2008,United States,400
2008,United States,300
2008,United States,400
2008,Overseas,600
2008,Overseas,200
2008,Overseas,800
2008,Overseas,1100
2008,Canada,71700
2008,Canada,1100
2008,Canada,4000
2008,Canada,500
2008,United States,400
2008,United States,700
2008,United States,200
2008,United States,0
2008,United States,0
2008,United States,100
2008,United States,0
2008,United States,0
2008,United States,0
2008,United States,0
2008,Overseas,0
2009,Canada,7400
2009,Canada,2800
2009,Canada,15000
2009,Canada,9200
2009,United States,500
2009,United States,400
2009,United States,300
2009,United States,100
2009,United States,900
2009,United States,100
2009,United States,300
2009,United States,200
2009,United States,100
2009,Overseas,800
2009,Overseas,200
2009,Overseas,700
2009,Overseas,1500
2009,Canada,58400
2009,Canada,500
2009,Canada,1700
2009,Canada,300
2009,United States,300
2009,United States,300
2009,United States,100
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,Overseas,0
2009,Canada,6800
2009,Canada,2500
2009,Canada,9400
2009,Canada,3500
2009,United States,300
2009,United States,500
2009,United States,200
2009,United States,0
2009,United States,400
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,200
2009,Overseas,600
2009,Overseas,100
2009,Overseas,500
2009,Overseas,600
2009,Canada,59300
2009,Canada,800
2009,Canada,1800
2009,Canada,300
2009,United States,300
2009,United States,300
2009,United States,100
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,Overseas,0
2009,Canada,7000
2009,Canada,1800
2009,Canada,9600
2009,Canada,4900
2009,United States,300
2009,United States,300
2009,United States,100
2009,United States,0
2009,United States,500
2009,United States,100
2009,United States,100
2009,United States,100
2009,United States,200
2009,Overseas,700
2009,Overseas,200
2009,Overseas,300
2009,Overseas,300
2009,Canada,71200
2009,Canada,1000
2009,Canada,3500
2009,Canada,500
2009,United States,400
2009,United States,700
2009,United States,200
2009,United States,100
2009,United States,0
2009,United States,100
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,Overseas,0
2009,Canada,6200
2009,Canada,3100
2009,Canada,13500
2009,Canada,4200
2009,United States,600
2009,United States,600
2009,United States,300
2009,United States,100
2009,United States,600
2009,United States,0
2009,United States,200
2009,United States,100
2009,United States,300
2009,Overseas,900
2009,Overseas,200
2009,Overseas,900
2009,Overseas,500
2009,Canada,81200
2009,Canada,1800
2009,Canada,6100
2009,Canada,900
2009,United States,600
2009,United States,900
2009,United States,300
2009,United States,100
2009,United States,0
2009,United States,200
2009,United States,0
2009,United States,0
2009,United States,100
2009,United States,0
2009,Overseas,0
2009,Canada,7300
2009,Canada,2900
2009,Canada,19800
2009,Canada,11600
2009,United States,800
2009,United States,1200
2009,United States,500
2009,United States,200
2009,United States,1200
2009,United States,200
2009,United States,300
2009,United States,300
2009,United States,600
2009,Overseas,900
2009,Overseas,300
2009,Overseas,600
2009,Overseas,1500
2009,Canada,99200
2009,Canada,3500
2009,Canada,12100
2009,Canada,1800
2009,United States,1100
2009,United States,1700
2009,United States,1000
2009,United States,300
2009,United States,100
2009,United States,800
2009,United States,0
2009,United States,100
2009,United States,100
2009,United States,100
2009,Overseas,0
2009,Canada,5800
2009,Canada,2600
2009,Canada,19400
2009,Canada,10500
2009,United States,700
2009,United States,1200
2009,United States,1400
2009,United States,500
2009,United States,1700
2009,United States,400
2009,United States,700
2009,United States,500
2009,United States,1100
2009,Overseas,2800
2009,Overseas,1200
2009,Overseas,1000
2009,Overseas,2100
2009,Canada,95300
2009,Canada,5600
2009,Canada,21400
2009,Canada,3000
2009,United States,1800
2009,United States,4700
2009,United States,2700
2009,United States,1000
2010,Overseas,0
2009,United States,300
2009,United States,2600
2009,United States,100
2009,United States,400
2009,United States,300
2009,United States,400
2009,Overseas,0
2009,Canada,6500
2009,Canada,3600
2009,Canada,30100
2009,Canada,19100
2009,United States,1500
2009,United States,2200
2009,United States,1400
2009,United States,700
2009,United States,3500
2009,United States,500
2009,United States,1100
2009,United States,1000
2009,United States,1500
2009,Overseas,2900
2009,Overseas,1600
2009,Overseas,2600
2009,Overseas,3300
2009,Canada,131000
2009,Canada,18000
2009,Canada,64000
2009,Canada,5400
2009,United States,3100
2009,United States,9700
2009,United States,5400
2009,United States,1900
2009,United States,600
2009,United States,4400
2009,United States,300
2009,United States,700
2009,United States,500
2009,United States,800
2009,Overseas,0
2009,Canada,6100
2009,Canada,3400
2009,Canada,35900
2009,Canada,24900
2009,United States,1200
2009,United States,2400
2009,United States,1200
2009,United States,600
2009,United States,3300
2009,United States,500
2009,United States,1300
2009,United States,800
2009,United States,2300
2009,Overseas,3800
2009,Overseas,2100
2009,Overseas,4500
2009,Overseas,4800
2009,Canada,128000
2009,Canada,16100
2009,Canada,57300
2009,Canada,4200
2009,United States,3100
2009,United States,10700
2009,United States,5800
2009,United States,2000
2009,United States,700
2009,United States,4000
2009,United States,200
2009,United States,500
2009,United States,500
2009,United States,700
2009,Overseas,0
2009,Canada,6800
2009,Canada,2800
2009,Canada,23900
2009,Canada,16800
2009,United States,1000
2009,United States,1600
2009,United States,1200
2009,United States,400
2009,United States,2500
2009,United States,300
2009,United States,800
2009,United States,800
2009,United States,1300
2009,Overseas,3300
2009,Overseas,2400
2009,Overseas,2600
2009,Overseas,2300
2009,Canada,102500
2009,Canada,6100
2009,Canada,26900
2009,Canada,3500
2010,Overseas,200
2009,United States,2500
2009,United States,6600
2009,United States,4000
2009,United States,1600
2009,United States,600
2009,United States,3000
2009,United States,500
2009,United States,400
2009,United States,400
2009,United States,600
2009,Overseas,0
2009,Canada,9000
2009,Canada,3200
2009,Canada,22400
2009,Canada,14200
2009,United States,600
2009,United States,800
2009,United States,700
2009,United States,400
2009,United States,1500
2009,United States,100
2009,United States,600
2009,United States,800
2009,United States,1200
2009,Overseas,2400
2009,Overseas,1500
2009,Overseas,2100
2009,Overseas,2300
2009,Canada,98200
2009,Canada,3300
2009,Canada,12400
2009,Canada,1700
2009,United States,1300
2009,United States,3000
2009,United States,1700
2009,United States,800
2009,United States,200
2009,United States,1100
2009,United States,100
2009,United States,200
2009,United States,300
2009,United States,300
2009,Overseas,0
2009,Canada,7900
2009,Canada,2500
2009,Canada,14000
2009,Canada,3700
2009,United States,500
2009,United States,400
2009,United States,300
2009,United States,100
2009,United States,600
2009,United States,100
2009,United States,400
2009,United States,200
2009,United States,400
2009,Overseas,500
2009,Overseas,200
2009,Overseas,1000
2009,Overseas,800
2009,Canada,77300
2009,Canada,1400
2009,Canada,5400
2009,Canada,600
2009,United States,500
2009,United States,900
2009,United States,300
2009,United States,100
2009,United States,0
2009,United States,100
2009,United States,0
2009,United States,0
2009,United States,100
2009,United States,0
2009,Overseas,0
2009,Canada,5300
2009,Canada,2400
2009,Canada,11000
2009,Canada,3700
2009,United States,400
2009,United States,400
2009,United States,300
2009,United States,100
2009,United States,500
2009,United States,100
2009,United States,400
2009,United States,200
2009,United States,300
2009,Overseas,400
2009,Overseas,300
2009,Overseas,600
2009,Overseas,1200
2009,Canada,70100
2009,Canada,1200
2009,Canada,5100
2009,Canada,400
2009,United States,300
2009,United States,800
2009,United States,300
2009,United States,100
2009,United States,0
2009,United States,100
2009,United States,0
2009,United States,0
2009,United States,0
2009,United States,0
2009,Overseas,0
2010,Canada,5800
2010,Canada,1900
2010,Canada,12200
2010,Canada,5400
2010,United States,600
2010,United States,400
2010,United States,300
2010,United States,200
2010,United States,600
2010,United States,100
